id	kind	source_hash	source	translation
block:block.amendments.cauldron_hack	block_name	sha256:c072b3020ccb13ed6ebce3f1e0b055aba8ac42da77c6dfcdb96a180c25df7711	Cauldron Hack	
block:block.amendments.ceiling_banner_black	block_name	sha256:74675bdcdf56284be0005567d9b6ef24b0669ce3adfe15f53e8f8e6dc269113e	Ceiling Banner Black	
block:block.amendments.ceiling_banner_blue	block_name	sha256:d899c82442d4d1fe5b66204ba43c45cd4f76f49a6078ceebcb723e0eafe1dca5	Ceiling Banner Blue	
block:block.amendments.ceiling_banner_brown	block_name	sha256:1aa2020cd33114a29ea2d6e5b7d909f7d50bae4f4c13df0ccf110c98d1c94cbe	Ceiling Banner Brown	
block:block.amendments.ceiling_banner_cyan	block_name	sha256:5134997b09402207fd6bf7e9714228ff1f9310f85b58af46af62a387357ab4d2	Ceiling Banner Cyan	
block:block.amendments.ceiling_banner_gray	block_name	sha256:3868c274de35c89ce0fcd816243ef4a0d983f5dc84fdabddb447922104f83fa7	Ceiling Banner Gray	
block:block.amendments.ceiling_banner_green	block_name	sha256:cee1ce9ffc7252b03712c97cab9d984a30536b8517642df758a1da76cf870195	Ceiling Banner Green	
block:block.amendments.ceiling_banner_light_blue	block_name	sha256:570e0beb3c5c07fbc9040d0301edab8c606be79b1a83fefb207187aa46a7593f	Ceiling Banner Light Blue	
block:block.amendments.ceiling_banner_light_gray	block_name	sha256:af759c6735ddee4e1532e43e17ce1725f96a7ec52009e334bd36ff537f43b283	Ceiling Banner Light Gray	
block:block.amendments.ceiling_banner_lime	block_name	sha256:d5ebcf5255843dd761dee828c4a6ea6209aedd829f51dffbb5160c0815d288c4	Ceiling Banner Lime	
block:block.amendments.ceiling_banner_magenta	block_name	sha256:bc3820cbffcb9b1729fb2cf73431dedcadf08205e605ed646e8168c98fc5a4c1	Ceiling Banner Magenta	
block:block.amendments.ceiling_banner_orange	block_name	sha256:14ecc352b9628d3c1a4a2acb247155fa3d49086cf750674ef8f9e62fe9324958	Ceiling Banner Orange	
block:block.amendments.ceiling_banner_pink	block_name	sha256:55655b5207052f699c25871ef7c57de197c4b2db4a96aa16e6c5719f87598adf	Ceiling Banner Pink	
block:block.amendments.ceiling_banner_purple	block_name	sha256:6f7a501163b5fadf7911366a17e22ef4d0b313f448f60ba44fff5fbdae792c4d	Ceiling Banner Purple	
block:block.amendments.ceiling_banner_red	block_name	sha256:9099fa0976e2fd01dc4b6efed887dd1f40f602db3db3d8c898d3eed7e9dd12f2	Ceiling Banner Red	
block:block.amendments.ceiling_banner_white	block_name	sha256:57d7101fa6f5718dc0e97f62734110a3754243ea4f3e0cf1ce4e44a4099baade	Ceiling Banner White	
block:block.amendments.ceiling_banner_yellow	block_name	sha256:44fe6a09c687b1ada94ba1962947f03a4e9a7f0b273a6cedd8e585340d97eb4b	Ceiling Banner Yellow	
block:block.amendments.createaddition/double_chocolate_cake	block_name	sha256:39b17c31f17df43b21829222a8ea12219b128faa0b5b7d25fa4b5a6015fb7919	Createaddition Double Chocolate Cake	
block:block.amendments.createaddition/double_honey_cake	block_name	sha256:bb158d46ff362dde907cb055bfaba62d1001f919c94c290284a8bdee35af730d	Createaddition Double Honey Cake	
block:block.amendments.neapolitan/double_adzuki_cake	block_name	sha256:7c9dd452b8d58f2f34a7ecbb24a2e231fe3a67a6ae15cc46a6afde4d0aae5797	Neapolitan Double Adzuki Cake	
block:block.amendments.neapolitan/double_banana_cake	block_name	sha256:a4d5ea578c58648e670b5595165d529b9c884cd77e5659ea1df89454a77840cb	Neapolitan Double Banana Cake	
block:block.amendments.neapolitan/double_chocolate_cake	block_name	sha256:706918868acf8ad98a0f939785951a6aecc288ec9c2a131efd87992b2e59d002	Neapolitan Double Chocolate Cake	
block:block.amendments.neapolitan/double_mint_cake	block_name	sha256:fb116d65dc31a1bb895c7a1e8855b78496526905e7acca711da0788aaf906ee9	Neapolitan Double Mint Cake	
block:block.amendments.neapolitan/double_strawberry_cake	block_name	sha256:a1255b6f6886f1fd0898fda0e301d1c1e943eeff2304875fa0ae156b37e43ded	Neapolitan Double Strawberry Cake	
block:block.amendments.neapolitan/double_vanilla_cake	block_name	sha256:674941654735222f43771902c76f58002d3757f54d84d95c88fdefdc492c6807	Neapolitan Double Vanilla Cake	
block:block.amendments.skull_candle	block_name	sha256:4ea513dd21f1ffb63f4ce8f6ad227625299da37ace24e56ca555ce9396866e0d	Skull Candle	
block:block.amendments.skull_candle_soul	block_name	sha256:add7a73b93aa2fd89b93921f6fda71a4518523c6eee32bbba512e74e30866682	Skull Candle Soul	
block:block.amendments.skull_candle_soul_wall	block_name	sha256:a969cfe33e3615f719274e9a7d349496a69753802332509d4aa5d45af6a6689b	Skull Candle Soul Wall	
block:block.amendments.skull_candle_wall	block_name	sha256:d1bd13c313816f22a464573354ae24a4b90bb4b936de07e19159c78bfb161683	Skull Candle Wall	
block:block.amendments.thermal/double_chocolate_cake	block_name	sha256:745fe7602330d0fbfc093591b375659d5d61537aa2f647e29a788351a65d0a8f	Thermal Double Chocolate Cake	
block:block.amendments.thermal/double_spice_cake	block_name	sha256:97311d9537ace0b15df96c8fbe5f80c9d162f220bd74fc11fa26e9f938b4a0d4	Thermal Double Spice Cake	
block:block.amendments.water_lily_pad	block_name	sha256:f40b0e9cf87e1643400dc850f46ce3ecee25a8a82bf4cc7c26756ef33e12d97a	Water Lily Pad	
block:block.azurelib.lightblock	block_name	sha256:1f455f2cf3b4d68deac2fe6019d1f26e8df9cf62de84efdf835c4c845eadfac7	Lightblock	
block:block.beachparty.beachparty_wall_banner	block_name	sha256:fefd3a3762f5c56c3e145cff62119dce6b99112d2f2f376660e55655ff46d56f	Beachparty Wall Banner	
block:block.beachparty.palm_wall_hanging_sign	block_name	sha256:33f9b79829c173a100aef769eacad7b679c49c2db3b1a312306bd5c3f82ecb96	Palm Wall Hanging Sign	
block:block.beachparty.palm_wall_torch	block_name	sha256:e10de25b76477128befdcb5a4c36d724b80bdcc5a266f5b2053176c1e91e465f	Palm Wall Torch	
